OMRÅDE;CIVILSTAND;TID;INDHOLD
København;Ugift;2008K1;309661
København;Ugift;2008K2;311978
København;Ugift;2008K3;311868
København;Ugift;2008K4;315545
København;Ugift;2009K1;317126
København;Ugift;2009K2;319778
København;Ugift;2009K3;319926
København;Ugift;2009K4;324313
København;Ugift;2010K1;325562
København;Ugift;2010K2;328670
København;Ugift;2010K3;328517
København;Ugift;2010K4;333929
København;Ugift;2011K1;335339
København;Ugift;2011K2;337717
København;Ugift;2011K3;337628
København;Ugift;2011K4;343028
København;Ugift;2012K1;343978
København;Ugift;2012K2;346995
København;Ugift;2012K3;346821
København;Ugift;2012K4;352000
København;Ugift;2013K1;353507
København;Ugift;2013K2;356849
København;Ugift;2013K3;356692
København;Ugift;2013K4;361813
København;Ugift;2014K1;362566
København;Ugift;2014K2;365720
København;Ugift;2014K3;365274
København;Ugift;2014K4;370940
København;Ugift;2015K1;371642
København;Ugift;2015K2;375047
København;Ugift;2015K3;374655
København;Ugift;2015K4;379545
København;Ugift;2016K1;381364
København;Ugift;2016K2;384161
København;Ugift;2016K3;383598
København;Ugift;2016K4;388897
København;Ugift;2017K1;389741
København;Ugift;2017K2;393512
København;Ugift;2017K3;392034
København;Ugift;2017K4;396546
København;Ugift;2018K1;398105
København;Ugift;2018K2;400873
København;Ugift;2018K3;400102
København;Ugift;2018K4;404978
København;Ugift;2019K1;405616
København;Ugift;2019K2;408833
København;Ugift;2019K3;408190
København;Ugift;2019K4;413168
København;Ugift;2020K1;412512
København;Gift/separeret;2008K1;128556
København;Gift/separeret;2008K2;128289
København;Gift/separeret;2008K3;128728
København;Gift/separeret;2008K4;130727
København;Gift/separeret;2009K1;130995
København;Gift/separeret;2009K2;130736
København;Gift/separeret;2009K3;131489
København;Gift/separeret;2009K4;133014
København;Gift/separeret;2010K1;133196
København;Gift/separeret;2010K2;132864
København;Gift/separeret;2010K3;133650
København;Gift/separeret;2010K4;135341
København;Gift/separeret;2011K1;135422
København;Gift/separeret;2011K2;135002
København;Gift/separeret;2011K3;135713
København;Gift/separeret;2011K4;136965
København;Gift/separeret;2012K1;136827
København;Gift/separeret;2012K2;136238
København;Gift/separeret;2012K3;136858
København;Gift/separeret;2012K4;137880
København;Gift/separeret;2013K1;138132
København;Gift/separeret;2013K2;137542
København;Gift/separeret;2013K3;137917
København;Gift/separeret;2013K4;139664
København;Gift/separeret;2014K1;138830
København;Gift/separeret;2014K2;138186
København;Gift/separeret;2014K3;138329
København;Gift/separeret;2014K4;139729
København;Gift/separeret;2015K1;139613
København;Gift/separeret;2015K2;139465
København;Gift/separeret;2015K3;139893
København;Gift/separeret;2015K4;141141
København;Gift/separeret;2016K1;140881
København;Gift/separeret;2016K2;140688
København;Gift/separeret;2016K3;141427
København;Gift/separeret;2016K4;143024
København;Gift/separeret;2017K1;143176
København;Gift/separeret;2017K2;142783
København;Gift/separeret;2017K3;143640
København;Gift/separeret;2017K4;145607
København;Gift/separeret;2018K1;145479
København;Gift/separeret;2018K2;145301
København;Gift/separeret;2018K3;146287
København;Gift/separeret;2018K4;148172
København;Gift/separeret;2019K1;147974
København;Gift/separeret;2019K2;147848
København;Gift/separeret;2019K3;148834
København;Gift/separeret;2019K4;150492
København;Gift/separeret;2020K1;150458
København;Fraskilt;2008K1;50089
København;Fraskilt;2008K2;50160
København;Fraskilt;2008K3;50024
København;Fraskilt;2008K4;49836
København;Fraskilt;2009K1;49853
København;Fraskilt;2009K2;49774
København;Fraskilt;2009K3;49848
København;Fraskilt;2009K4;49633
København;Fraskilt;2010K1;49689
København;Fraskilt;2010K2;49837
København;Fraskilt;2010K3;49725
København;Fraskilt;2010K4;49662
København;Fraskilt;2011K1;49818
København;Fraskilt;2011K2;50088
København;Fraskilt;2011K3;50064
København;Fraskilt;2011K4;50062
København;Fraskilt;2012K1;50044
København;Fraskilt;2012K2;50313
København;Fraskilt;2012K3;50322
København;Fraskilt;2012K4;50270
København;Fraskilt;2013K1;50277
København;Fraskilt;2013K2;50567
København;Fraskilt;2013K3;50616
København;Fraskilt;2013K4;50511
København;Fraskilt;2014K1;51243
København;Fraskilt;2014K2;51660
København;Fraskilt;2014K3;51959
København;Fraskilt;2014K4;52260
København;Fraskilt;2015K1;52437
København;Fraskilt;2015K2;52538
København;Fraskilt;2015K3;52795
København;Fraskilt;2015K4;52919
København;Fraskilt;2016K1;53199
København;Fraskilt;2016K2;53446
København;Fraskilt;2016K3;53723
København;Fraskilt;2016K4;53807
København;Fraskilt;2017K1;53957
København;Fraskilt;2017K2;54272
København;Fraskilt;2017K3;54275
København;Fraskilt;2017K4;54336
København;Fraskilt;2018K1;54466
København;Fraskilt;2018K2;54682
København;Fraskilt;2018K3;54697
København;Fraskilt;2018K4;54623
København;Fraskilt;2019K1;54946
København;Fraskilt;2019K2;54882
København;Fraskilt;2019K3;54771
København;Fraskilt;2019K4;54682
København;Fraskilt;2020K1;54740
København;Enke/enkemand;2008K1;21555
København;Enke/enkemand;2008K2;21298
København;Enke/enkemand;2008K3;21066
København;Enke/enkemand;2008K4;20854
København;Enke/enkemand;2009K1;20600
København;Enke/enkemand;2009K2;20371
København;Enke/enkemand;2009K3;20134
København;Enke/enkemand;2009K4;19958
København;Enke/enkemand;2010K1;19761
København;Enke/enkemand;2010K2;19531
København;Enke/enkemand;2010K3;19307
København;Enke/enkemand;2010K4;19099
København;Enke/enkemand;2011K1;18963
København;Enke/enkemand;2011K2;18752
København;Enke/enkemand;2011K3;18584
København;Enke/enkemand;2011K4;18388
København;Enke/enkemand;2012K1;18201
København;Enke/enkemand;2012K2;18034
København;Enke/enkemand;2012K3;17899
København;Enke/enkemand;2012K4;17770
København;Enke/enkemand;2013K1;17524
København;Enke/enkemand;2013K2;17295
København;Enke/enkemand;2013K3;17154
København;Enke/enkemand;2013K4;17012
København;Enke/enkemand;2014K1;16918
København;Enke/enkemand;2014K2;16810
København;Enke/enkemand;2014K3;16725
København;Enke/enkemand;2014K4;16584
København;Enke/enkemand;2015K1;16492
København;Enke/enkemand;2015K2;16299
København;Enke/enkemand;2015K3;16182
København;Enke/enkemand;2015K4;16094
København;Enke/enkemand;2016K1;16037
København;Enke/enkemand;2016K2;15936
København;Enke/enkemand;2016K3;15787
København;Enke/enkemand;2016K4;15720
København;Enke/enkemand;2017K1;15607
København;Enke/enkemand;2017K2;15490
København;Enke/enkemand;2017K3;15417
København;Enke/enkemand;2017K4;15333
København;Enke/enkemand;2018K1;15238
København;Enke/enkemand;2018K2;15137
København;Enke/enkemand;2018K3;15012
København;Enke/enkemand;2018K4;14925
København;Enke/enkemand;2019K1;14868
København;Enke/enkemand;2019K2;14787
København;Enke/enkemand;2019K3;14713
København;Enke/enkemand;2019K4;14679
København;Enke/enkemand;2020K1;14630
København;I alt;2008K1;509861
København;I alt;2008K2;511725
København;I alt;2008K3;511686
København;I alt;2008K4;516962
København;I alt;2009K1;518574
København;I alt;2009K2;520659
København;I alt;2009K3;521397
København;I alt;2009K4;526918
København;I alt;2010K1;528208
København;I alt;2010K2;530902
København;I alt;2010K3;531199
København;I alt;2010K4;538031
København;I alt;2011K1;539542
København;I alt;2011K2;541559
København;I alt;2011K3;541989
København;I alt;2011K4;548443
København;I alt;2012K1;549050
København;I alt;2012K2;551580
København;I alt;2012K3;551900
København;I alt;2012K4;557920
København;I alt;2013K1;559440
København;I alt;2013K2;562253
København;I alt;2013K3;562379
København;I alt;2013K4;569000
København;I alt;2014K1;569557
København;I alt;2014K2;572376
København;I alt;2014K3;572287
København;I alt;2014K4;579513
København;I alt;2015K1;580184
København;I alt;2015K2;583349
København;I alt;2015K3;583525
København;I alt;2015K4;589699
København;I alt;2016K1;591481
København;I alt;2016K2;594231
København;I alt;2016K3;594535
København;I alt;2016K4;601448
København;I alt;2017K1;602481
København;I alt;2017K2;606057
København;I alt;2017K3;605366
København;I alt;2017K4;611822
København;I alt;2018K1;613288
København;I alt;2018K2;615993
København;I alt;2018K3;616098
København;I alt;2018K4;622698
København;I alt;2019K1;623404
København;I alt;2019K2;626350
København;I alt;2019K3;626508
København;I alt;2019K4;633021
København;I alt;2020K1;632340
